date,type,operator,fatalities,country,cat,year
1998-11-28,DHC-7-102,DNK Leasing,2.0,U.K.,A1,1998
1998-12-02,Cessna 501 Citation I/SP,Yates AviationÂ,1.0,USA,A1,1998
1998-12-03,BAe BAe-748-335 Srs. 2A SCD,Bradley Air Services,0.0,Canada,A1,1998
1998-12-05,Beech 300 Super King Air 350,Dogus Air,2.0,Turkey,A1,1998
1998-12-07,BN-2A-26Â Islander,Air Satellite,7.0,Canada,A1,1998
1998-12-11,Airbus A310-204,Thai Airways International,101.0,Thailand,A1,1998
1998-12-14,Antonov An-12BP,Khors Air,10.0,Angola,C1,1998
1998-12-17,Antonov An-12BP,Zanex,1.0,Angola,A1,1998
1998-12-17,Beech 200 Super King Air,Nouvelle Air Affaires Gabon,2.0,Gabon,A1,1998
1998-12-18,CASA C-212 Aviocar 200,FS Air Service,0.0,USA,A2,1998
1998-12-22,Antonov An-32B,SELVA Colombia,5.0,Colombia,A1,1998
1998-12-26,Lockheed L-100-30 Hercules,"UN, opb Transafrik",14.0,Angola,C1,1998
1998-12-27,Antonov An-12,ACA-Ancargo Air,4.0,Angola,A1,1998
1998-12-28,Embraer EMB-145ER (ERJ-145ER),Rio Sul,0.0,Brazil,A1,1998
,Ilyushin Il-86,Aeroflot,0.0,Russia,A1,1998
,IAI Arava 201,Mexican AF,,Mexico,A1,1998
,Antonov An-2R,Aeroklub Zrenjanin,,Serbia,O1,1998
,Antonov An-2R,Aeroklub Zrenjanin,,Serbia,A1,1998
,Yakovlev Yak-40K,United Energy Systems,0.0,Italy,A1,1998
,Basler Turbo 67 (DC-3T),Guatemala AF,,Guatemala,U1,1998
,Antonov An-32B,"Trans Charter, op.for Filair",0.0,D.R. Congo,A1,1998
,Lockheed KC-130F Hercules,USMC,0.0,,A1,1998
1999-01-01,Boeing 737-298C,Lignes Aeriennes Congolaises,0.0,Tanzania,A1,1999
1999-01-02,Lockheed L-100-30 Hercules,"Transafrik, opf UN",9.0,Angola,C1,1999
1999-01-04,Beech 1900C-1,Regionnair,0.0,Canada,A1,1999
1999-01-11,HAL-748,Defence Research,8.0,India,A1,1999
1999-01-11,CASA C-212 Aviocar 200,Zimbabwe AF,5.0,D.R. Congo,A1,1999
1999-01-12,Fokker F-27 Friendship 600,Channel Express,2.0,U.K.,A1,1999
1999-01-13,Douglas DC-3C,Kelowna Flightcraft,2.0,Canada,A1,1999
1999-01-13,Swearingen SA226-AT Merlin IV,Besit Servizi Aerei,0.0,Italy,A1,1999
1999-01-13,Boeing KC-135E,Air National Guard,4.0,Germany,A1,1999
1999-01-14,Swearingen SA226-AT Merlin IVC,Besit Servizi Aerei,0.0,Italy,A1,1999
1999-01-14,Beech 300 Super King Air,USA Healthcare-Leasing,2.0,USA,A1,1999
1999-01-16,BN-2A-26 Islander,Uzu Air,3.0,Australia,A1,1999
1999-01-18,Cessna 208A Caravan I,Necon Air,5.0,Nepal,A1,1999
1999-01-20,Antonov An-12B,Unknown,0.0,Angola,A1,1999
1999-01-21,Antonov An-26,Nicaraguan AF,28.0,Nicaragua,A1,1999
